Title,Genre,Language,Imdb_Score,Premiere,Runtime,Year,Imdb_Category
A Tale of Two Kitchens,Documentary,ENGLISH_SPANISH,6.3,22/05/2019,30,2019,Good
Over the Moon,Animation/Musical/Adventure,ENGLISH,6.4,23/10/2020,95,2020,Good
Raat Akeli Hai,Thriller,HINDI,7.3,31/07/2020,149,2020,Excellent
Two Catalonias,Documentary,SPANISH_CATALAN,6.4,28/09/2018,116,2018,Good
Keith Richards: Under the Influence,Documentary,ENGLISH,7.1,18/09/2015,81,2015,Excellent
ReMastered: Who Shot the Sheriff?,Documentary,ENGLISH,6.9,12/10/2018,57,2018,Good
Like Father,Comedy,ENGLISH,6.1,03/08/2018,103,2018,Good
ReMastered: The Two Killings of Sam Cooke,Documentary,ENGLISH,7.3,08/02/2019,64,2019,Excellent
Winter on Fire: Ukraine's Fight for Freedom,Documentary,ENGLISH_UKRANIAN_RUSSIAN,8.4,09/10/2015,91,2015,Excellent
Hold the Dark,Thriller,ENGLISH,5.6,28/09/2018,125,2018,Not Bad
Below Zero,Drama,SPANISH,6.2,29/01/2021,106,2021,Good
Sierra Burgess Is a Loser,Romantic comedy-drama,ENGLISH,5.8,07/09/2018,105,2018,Not Bad
Casting JonBenet,Documentary,ENGLISH,6.1,28/04/2017,80,2017,Good
The Half of It,Romance,ENGLISH,6.9,01/05/2020,105,2020,Good
Sometimes,Drama,TAMIL,7.2,01/05/2018,101,2018,Excellent
Just Another Christmas,Comedy,PORTUGUESE,6.7,03/12/2020,101,2020,Good
Otherhood,Comedy,ENGLISH,6.1,02/08/2019,100,2019,Good
Octonauts & the Caves of Sac Actun,Animation,ENGLISH,6.2,14/08/2020,72,2020,Good
CounterPunch ,Documentary,ENGLISH,6.7,16/06/2017,91,2017,Good
Octonauts & the Great Barrier Reef,Animation,ENGLISH,7.3,13/10/2020,47,2020,Excellent
The Claus Family,Fantasy,DUTCH,5.8,07/12/2020,96,2020,Not Bad
Moxie,Drama,ENGLISH,6.7,03/03/2021,111,2021,Good
The Woman in the Window,Psychological thriller,ENGLISH,5.7,14/05/2021,100,2021,Not Bad
